RTS_ID	TargetName	ProbeID	Negative
RTS0021418	AGTR2	36082	FALSE
RTS0021420	ALDH1A1	36083	FALSE
RTS0021421	ALDH2	36084	FALSE
RTS0021422	ALDH3A1	36085	FALSE
RTS0021423	ALDH1B1	36086	FALSE
RTS0021424	ALDH1A3	36087	FALSE
RTS0021425	ALDH3B2	36088	FALSE
RTS0021426	ALDH9A1	36089	FALSE
RTS0021427	ALOX12	36090	FALSE
RTS0021428	ALOX5	36091	FALSE
RTS0021429	ANXA1	36092	FALSE
RTS0021430	ATP1A1	36093	FALSE
RTS0021431	ATP1A2	36094	FALSE
RTS0021432	ATP4A	36095	FALSE
RTS0021433	ATP4B	36096	FALSE
RTS0021434	AVPR1A	36097	FALSE
RTS0021435	AVPR1B	36098	FALSE
RTS0021436	BCKDHA	36099	FALSE
RTS0021437	BDKRB1	36100	FALSE
RTS0021438	BLVRA	36101	FALSE
RTS0021439	BLVRB	36102	FALSE
RTS0021440	TSPO	36103	FALSE
RTS0021441	C4BPA	36104	FALSE
RTS0021442	C4BPB	36105	FALSE
RTS0021443	CA4	36106	FALSE
RTS0021444	CACNA1B	36107	FALSE
RTS0021445	CACNA1D	36108	FALSE
RTS0021446	CACNA1E	36109	FALSE
RTS0021447	CACNA2D1	36110	FALSE
RTS0021448	CACNB2	36111	FALSE
RTS0021449	CACNB3	36112	FALSE
RTS0021450	CACNB4	36113	FALSE
RTS0021451	CACNG1	36114	FALSE
RTS0021452	CALCB	36115	FALSE
RTS0021453	CCKAR	36116	FALSE
RTS0021454	CD3D	36117	FALSE
RTS0021455	CD3E	36118	FALSE
RTS0021456	CGA	36119	FALSE
RTS0021457	CHRM1	36120	FALSE
RTS0021458	CHRM3	36121	FALSE
RTS0021459	CHRM4	36122	FALSE
RTS0021460	CHRNA2	36123	FALSE
RTS0021461	CHRNA3	36124	FALSE
RTS0021462	CHRNA4	36125	FALSE
RTS0021463	CHRNA5	36126	FALSE
RTS0021464	CHRNB1	36127	FALSE
RTS0021465	CHRNB3	36128	FALSE
RTS0021466	CHRNB4	36129	FALSE
RTS0021467	CHRND	36130	FALSE
RTS0021470	CRH	36131	FALSE
RTS0021471	CSF1	36132	FALSE
RTS0021472	CSF2	36133	FALSE
RTS0021473	CSF3	36134	FALSE
RTS0021474	CSF3R	36135	FALSE
RTS0021475	CYP1A2	36136	FALSE
RTS0021477	CYP3A7	36137	FALSE
RTS0021478	CYP2B6	36138	FALSE
RTS0021479	CYP2C19	36139	FALSE
RTS0021480	CYP2C8	36140	FALSE
RTS0021481	CYP2C9	36141	FALSE
RTS0021482	CYP2C18	36142	FALSE
RTS0021483	CYP2E1	36143	FALSE
RTS0021484	CYP2F1	36144	FALSE
RTS0021485	CYP2J2	36145	FALSE
RTS0021486	CYP3A5	36146	FALSE
RTS0021487	CYP4B1	36147	FALSE
RTS0021488	CYP7A1	36148	FALSE
RTS0021490	CYP24A1	36149	FALSE
RTS0021491	CYP27A1	36150	FALSE
RTS0021492	CYP27B1	36151	FALSE
RTS0021494	DBH	36152	FALSE
RTS0021495	DCK	36153	FALSE
RTS0021496	ACE	36154	FALSE
RTS0021497	DDC	36155	FALSE
RTS0021499	DIO1	36156	FALSE
RTS0021500	DRD1	36157	FALSE
RTS0021501	DRD2	36158	FALSE
RTS0021502	DRD3	36159	FALSE
RTS0021503	DRD4	36160	FALSE
RTS0021504	DRD5	36161	FALSE
RTS0021505	EPO	36162	FALSE
RTS0021509	FOLR3	36163	FALSE
RTS0021510	GAST	36164	FALSE
RTS0021511	GABRA1	36165	FALSE
RTS0021512	GABRA2	36166	FALSE
RTS0021514	GABRA4	36167	FALSE
RTS0021515	GABRA5	36168	FALSE
RTS0021516	GABRA6	36169	FALSE
RTS0021517	GABRB1	36170	FALSE
RTS0021518	GABRB2	36171	FALSE
RTS0021519	GABRB3	36172	FALSE
RTS0021520	GABRD	36173	FALSE
RTS0021521	GABRG2	36174	FALSE
RTS0021522	GAD1	36175	FALSE
RTS0021523	GAD2	36176	FALSE
RTS0021524	GART	36177	FALSE
RTS0021525	GAS6	36178	FALSE
RTS0021526	GGCX	36179	FALSE
RTS0021527	GHRHR	36180	FALSE
RTS0021528	GLRB	36181	FALSE
RTS0021529	GNRH1	36182	FALSE
RTS0021530	GRIA1	36183	FALSE
RTS0021531	GRIA3	36184	FALSE
RTS0021532	GRIA4	36185	FALSE
RTS0021533	GRIK1	36186	FALSE
RTS0021534	GRIK3	36187	FALSE
RTS0021535	GRIN1	36188	FALSE
RTS0021536	GRIN2A	36189	FALSE
RTS0021537	GRIN2B	36190	FALSE
RTS0021538	GRIN2D	36191	FALSE
RTS0021539	GRINA	36192	FALSE
RTS0021540	GRM1	36193	FALSE
RTS0021541	GRM3	36194	FALSE
RTS0021542	GRM4	36195	FALSE
RTS0021543	GRM5	36196	FALSE
RTS0021544	GRM6	36197	FALSE
RTS0021545	GRM7	36198	FALSE
RTS0021546	GRM8	36199	FALSE
RTS0021547	GSTA2	36200	FALSE
RTS0021548	GSTA3	36201	FALSE
RTS0021549	GSTM2	36202	FALSE
RTS0021550	GSTM3	36203	FALSE
RTS0021551	GSTM4	36204	FALSE
RTS0021554	GSTT2	36205	FALSE
RTS0021555	GUCY1A2	36206	FALSE
RTS0021556	GUCY1B1	36207	FALSE
RTS0021557	GUK1	36208	FALSE
RTS0021558	HMGCR	36209	FALSE
RTS0021559	HPGD	36210	FALSE
RTS0021560	HRH1	36211	FALSE
RTS0021561	HSD3B1	36212	FALSE
RTS0021562	HTR1B	36213	FALSE
RTS0021563	HTR1D	36214	FALSE
RTS0021564	HTR1E	36215	FALSE
RTS0021565	HTR1F	36216	FALSE
RTS0021566	HTR2B	36217	FALSE
RTS0021567	HTR2C	36218	FALSE
RTS0021568	HTR3A	36219	FALSE
RTS0021569	HTR6	36220	FALSE
RTS0021570	ICAM2	36221	FALSE
RTS0021571	IFNAR2	36222	FALSE
RTS0021572	IGF1R	36223	FALSE
RTS0021573	IGF2R	36224	FALSE
RTS0021574	IL2RB	36225	FALSE
RTS0021575	IL5	36226	FALSE
RTS0021576	IL7	36227	FALSE
RTS0021577	IL12A	36228	FALSE
RTS0021578	IMPDH1	36229	FALSE
RTS0021579	IMPDH2	36230	FALSE
RTS0021580	ITGA4	36231	FALSE
RTS0021581	ITGAX	4419	FALSE
RTS0021582	ITGB6	36232	FALSE
RTS0021583	ITGB7	36233	FALSE
RTS0021584	KCNJ5	36234	FALSE
RTS0021586	KLKB1	36235	FALSE
RTS0021587	KNG1	36236	FALSE
RTS0021588	LHB	36237	FALSE
RTS0021589	CYP4F3	36238	FALSE
RTS0021590	MAOB	36239	FALSE
RTS0021593	NQO1	36240	FALSE
RTS0021594	NQO2	36241	FALSE
RTS0021595	NPY	36242	FALSE
RTS0021596	NPR1	36243	FALSE
RTS0021598	NPY1R	36244	FALSE
RTS0021599	NPY2R	36245	FALSE
RTS0021600	OPRD1	36246	FALSE
RTS0021601	OPRK1	36247	FALSE
RTS0021602	OXT	36248	FALSE
RTS0021603	OXTR	36249	FALSE
RTS0021604	P4HA1	36250	FALSE
RTS0021605	P4HB	36251	FALSE
RTS0021606	PAM	36252	FALSE
RTS0021607	PC	36253	FALSE
RTS0021608	PDE3A	36254	FALSE
RTS0021609	PDE3B	36255	FALSE
RTS0021610	PDE4C	36256	FALSE
RTS0021611	PDE1B	36257	FALSE
RTS0021612	PDHB	36258	FALSE
RTS0021613	PGR	36259	FALSE
RTS0021614	ABCB1	36260	FALSE
RTS0021615	PLA2G1B	36261	FALSE
RTS0021616	PLA2G5	36262	FALSE
RTS0021617	PLAT	36263	FALSE
RTS0021619	SERPINF2	36264	FALSE
RTS0021620	PNLIP	36265	FALSE
RTS0021621	POLR2A	36266	FALSE
RTS0021622	POLR2B	36267	FALSE
RTS0021623	POMC	36268	FALSE
RTS0021624	PON3	36269	FALSE
RTS0021625	POR	36270	FALSE
RTS0021626	PPIB	36271	FALSE
RTS0021627	PPIC	36272	FALSE
RTS0021628	PPP3CA	36273	FALSE
RTS0021629	PPP3R1	36274	FALSE
RTS0021630	PRIM1	36275	FALSE
RTS0021631	PRL	36276	FALSE
RTS0021632	PRRG1	36277	FALSE
RTS0021633	PTAFR	36278	FALSE
RTS0021634	PTGDR	36279	FALSE
RTS0021635	PTGDS	36280	FALSE
RTS0021636	PTGER1	36281	FALSE
RTS0021637	PTGER2	36282	FALSE
RTS0021638	PTGER3	36283	FALSE
RTS0021639	PTGER4	36284	FALSE
RTS0021640	PTGFR	36285	FALSE
RTS0021641	PTGIR	36286	FALSE
RTS0021642	PTGIS	36287	FALSE
RTS0021644	PTGS2	36288	FALSE
RTS0021645	RARB	36289	FALSE
RTS0021647	RPL4	36290	FALSE
RTS0021648	RPL5	36291	FALSE
